score,runs_scored,balls_faced,strike_rate,fours,sixes,opposition,ground,date,odi_number
15,15,23,65.21,2,0,v England,Dharamsala,1/27/2013,ODI # 3329
27,27,26,103.84,3,0,v South Africa,Cardiff,6/6/2013,ODI # 3363
DNB,-,-,-,-,-,v West Indies,The Oval,6/11/2013,ODI # 3368
DNB,-,-,-,-,-,v Pakistan,Birmingham,6/15/2013,ODI # 3372
DNB,-,-,-,-,-,v Sri Lanka,Cardiff,6/20/2013,ODI # 3376
0,0,4,0,0,0,v England,Birmingham,6/23/2013,ODI # 3377
27,27,35,77.14,1,0,v West Indies,Kingston,6/30/2013,ODI # 3380
45*,45,52,86.53,5,2,v Sri Lanka,Port of Spain,7/11/2013,ODI # 3388
19,19,22,86.36,2,0,v Australia,Pune,10/13/2013,ODI # 3419
DNB,-,-,-,-,-,v Australia,Jaipur,10/16/2013,ODI # 3420
139*,139,121,114.87,12,5,v Australia,Mohali,10/19/2013,ODI # 3421
DNB,-,-,-,-,-,v Australia,Ranchi,10/23/2013,ODI # 3422
25*,25,23,108.69,2,0,v Australia,Nagpur,10/30/2013,ODI # 3424
62,62,38,163.15,7,2,v Australia,Bengaluru,11/2/2013,ODI # 3428
13*,13,7,185.71,3,0,v West Indies,Kochi,11/21/2013,ODI # 3436
51*,51,40,127.5,3,4,v West Indies,Visakhapatnam,11/24/2013,ODI # 3437
23*,23,23,100,3,0,v West Indies,Kanpur,11/27/2013,ODI # 3439
65,65,71,91.54,8,1,v South Africa,Johannesburg,12/5/2013,ODI # 3442
19,19,31,61.29,0,0,v South Africa,Durban,12/8/2013,ODI # 3443
TDNB,-,-,-,-,-,v South Africa,Centurion,12/11/2013,ODI # 3444
40,40,46,86.95,2,2,v New Zealand,Napier,1/19/2014,ODI # 3456
56,56,44,127.27,7,1,v New Zealand,Hamilton,1/22/2014,ODI # 3458
50,50,60,83.33,2,3,v New Zealand,Auckland,1/25/2014,ODI # 3462
79*,79,73,108.21,6,3,v New Zealand,Hamilton,1/28/2014,ODI # 3465
47,47,72,65.27,3,0,v New Zealand,Wellington,1/31/2014,ODI # 3467
52,52,51,101.96,6,0,v England,Cardiff,8/27/2014,ODI # 3517
DNB,-,-,-,-,-,v England,Nottingham,8/30/2014,ODI # 3520
DNB,-,-,-,-,-,v England,Birmingham,9/2/2014,ODI # 3523
29,29,42,69.04,1,1,v England,Leeds,9/5/2014,ODI # 3525
8,8,21,38.09,0,0,v West Indies,Kochi,10/8/2014,ODI # 3531
51*,51,40,127.5,5,1,v West Indies,Delhi,10/11/2014,ODI # 3533
