score,runs_scored,balls_faced,strike_rate,fours,sixes,opposition,ground,date,odi_number
8,8,17,47.05,0,0,v Afghanistan,Dubai (DSC),9/25/2018,ODI # 4046
36,36,67,53.73,3,0,v Bangladesh,Dubai (DSC),9/28/2018,ODI # 4048
DNB,-,-,-,-,-,v West Indies,Guwahati,10/21/2018,ODI # 4056
20,20,25,80,0,1,v West Indies,Visakhapatnam,10/24/2018,ODI # 4059
7,7,11,63.63,0,0,v West Indies,Pune,10/27/2018,ODI # 4062
23,23,15,153.33,2,0,v West Indies,Mumbai (BS),10/29/2018,ODI # 4063
DNB,-,-,-,-,-,v West Indies,Thiruvananthapuram,11/1/2018,ODI # 4064
51,51,96,53.12,3,1,v Australia,Sydney,1/12/2019,ODI # 4077
55*,55,54,101.85,0,2,v Australia,Adelaide,1/15/2019,ODI # 4078
87*,87,114,76.31,6,0,v Australia,Melbourne,1/18/2019,ODI # 4079
DNB,-,-,-,-,-,v New Zealand,Napier,1/23/2019,ODI # 4082
48*,48,33,145.45,5,1,v New Zealand,Mount Maunganui,1/26/2019,ODI # 4085
1,1,6,16.66,0,0,v New Zealand,Wellington,2/3/2019,ODI # 4092
59*,59,72,81.94,6,1,v Australia,Hyderabad (Deccan),3/2/2019,ODI # 4102
0,0,1,0,0,0,v Australia,Nagpur,3/5/2019,ODI # 4106
26,26,42,61.9,2,1,v Australia,Ranchi,3/8/2019,ODI # 4109
34,34,46,73.91,2,0,v South Africa,Southampton,6/5/2019,ODI # 4150
27,27,14,192.85,3,1,v Australia,The Oval,6/9/2019,ODI # 4155
1,1,2,50,0,0,v Pakistan,Manchester,6/16/2019,ODI # 4161
28,28,52,53.84,3,0,v Afghanistan,Southampton,6/22/2019,ODI # 4169
56*,56,61,91.8,3,2,v West Indies,Manchester,6/27/2019,ODI # 4175
42*,42,31,135.48,4,1,v England,Birmingham,6/30/2019,ODI # 4179
35,35,33,106.06,4,0,v Bangladesh,Birmingham,7/2/2019,ODI # 4182
DNB,-,-,-,-,-,v Sri Lanka,Leeds,7/6/2019,ODI # 4187
50,50,72,69.44,1,1,v New Zealand,Manchester,7/9/2019,ODI # 4190
